date,lake_area_km2,coverage_pct
2019-06-01,17.582,86.5
2019-06-05,22.802,98.8
2019-06-08,21.315,99.4
2019-06-10,21.277,90.2
2019-06-11,26.246,99.9
2019-06-15,22.768,96.8
2019-06-16,20.329,97.6
2019-06-18,25.154,99.1
2019-06-20,21.101,99.8
2019-07-03,18.58,96.8
2019-07-06,21.529,97.6
2019-07-08,26.03,99.9
2019-07-10,23.341,98.6
2019-07-11,17.259,80.3
2019-07-15,25.255,99.9
2019-07-16,24.337,98.6
2019-07-20,23.133,97.5
2019-07-21,22.872,85.2
2019-07-23,24.984,99.5
2019-07-31,17.925,96.9
2019-08-02,25.155,99.8
2019-08-04,23.985,99.1
2019-08-09,24.308,99.8
2019-08-10,24.528,99.9
2019-08-12,22.761,99.6
2019-08-20,24.064,96.3
2019-08-24,24.971,95.3
2019-08-25,20.797,97.5
2019-08-29,19.429,96.4
2019-09-01,15.417,94.8
2019-09-09,20.825,96.8
