lake_id,date_before,date_after,days_between,area_before_km2,peak_area_km2,area_after_km2,fractional_drop,confidence
11,2019-06-01,2019-06-05,4,0.2801,0.2801,0.0194,0.931,HIGH (confirmed: stayed low in later scenes)
11,2019-06-05,2019-06-05,0,0.0194,0.2801,0.0031,0.989,HIGH (confirmed: stayed low in later scenes)
11,2019-06-05,2019-06-05,0,0.0031,0.2801,0.0142,0.949,HIGH (confirmed: stayed low in later scenes)
11,2019-06-05,2019-06-05,0,0.0142,0.2801,0.0064,0.977,HIGH (confirmed: stayed low in later scenes)
11,2019-06-05,2019-06-05,0,0.0064,0.2801,0.0031,0.989,HIGH (confirmed: stayed low in later scenes)
11,2019-06-05,2019-06-05,0,0.0031,0.2801,0.0026,0.991,HIGH (confirmed: stayed low in later scenes)
11,2019-06-05,2019-06-08,3,0.0026,0.2801,0.0663,0.763,HIGH (confirmed: stayed low in later scenes)
11,2019-06-08,2019-06-08,0,0.0663,0.2801,0.0046,0.984,MEDIUM (track ends after drop — no later data to confirm)
28,2019-06-11,2019-06-11,0,0.1321,0.1494,0.005,0.967,HIGH (confirmed: stayed low in later scenes)
28,2019-06-11,2019-06-15,4,0.005,0.1494,0.0046,0.969,HIGH (confirmed: stayed low in later scenes)
28,2019-06-15,2019-06-15,0,0.0046,0.1494,0.03,0.799,MEDIUM (track ends after drop — no later data to confirm)
30,2019-06-08,2019-06-10,2,0.017,0.0189,0.0074,0.608,MEDIUM (track ends after drop — no later data to confirm)
31,2019-06-15,2019-06-15,0,0.0869,0.1574,0.0026,0.983,MEDIUM (track ends after drop — no later data to confirm)
35,2019-06-11,2019-06-15,4,0.0712,0.0712,0.0034,0.952,MEDIUM (partial recovery — ambiguous)
35,2019-06-15,2019-06-15,0,0.0034,0.0712,0.0303,0.574,HIGH (confirmed: stayed low in later scenes)
35,2019-06-15,2019-06-15,0,0.0303,0.0712,0.0117,0.836,MEDIUM (track ends after drop — no later data to confirm)
39,2019-06-05,2019-06-08,3,0.1879,0.2586,0.0985,0.619,HIGH (confirmed: stayed low in later scenes)
39,2019-06-08,2019-06-10,2,0.0985,0.2586,0.0058,0.978,HIGH (confirmed: stayed low in later scenes)
39,2019-06-10,2019-06-10,0,0.0058,0.2586,0.0022,0.991,HIGH (confirmed: stayed low in later scenes)
39,2019-06-10,2019-06-11,1,0.0022,0.2586,0.0049,0.981,MEDIUM (track ends after drop — no later data to confirm)
50,2019-06-08,2019-06-10,2,0.0523,0.082,0.0315,0.616,MEDIUM (partial recovery — ambiguous)
50,2019-06-10,2019-06-11,1,0.0315,0.082,0.0325,0.604,MEDIUM (track ends after drop — no later data to confirm)
67,2019-06-05,2019-06-08,3,0.0115,0.0153,0.0055,0.641,MEDIUM (track ends after drop — no later data to confirm)
79,2019-07-03,2019-07-06,3,0.1445,0.1445,0.0071,0.951,HIGH (confirmed: stayed low in later scenes)
79,2019-07-06,2019-07-06,0,0.0071,0.1445,0.005,0.965,HIGH (confirmed: stayed low in later scenes)
79,2019-07-06,2019-07-06,0,0.005,0.1445,0.002,0.986,HIGH (confirmed: stayed low in later scenes)
79,2019-07-06,2019-07-08,2,0.002,0.1445,0.0038,0.974,HIGH (confirmed: stayed low in later scenes)
79,2019-07-08,2019-07-08,0,0.0038,0.1445,0.0034,0.976,MEDIUM (track ends after drop — no later data to confirm)
80,2019-06-01,2019-06-05,4,0.0818,0.0818,0.0063,0.923,MEDIUM (track ends after drop — no later data to confirm)
82,2019-06-08,2019-06-10,2,0.021,0.021,0.0041,0.805,HIGH (confirmed: stayed low in later scenes)
82,2019-06-10,2019-06-10,0,0.0041,0.021,0.0022,0.895,HIGH (confirmed: stayed low in later scenes)
82,2019-06-10,2019-06-11,1,0.0022,0.021,0.0049,0.767,HIGH (confirmed: stayed low in later scenes)
82,2019-06-11,2019-06-11,0,0.0049,0.021,0.0039,0.814,MEDIUM (track ends after drop — no later data to confirm)
85,2019-06-01,2019-06-05,4,0.0275,0.0275,0.0076,0.724,HIGH (confirmed: stayed low in later scenes)
85,2019-06-05,2019-06-05,0,0.0076,0.0275,0.0067,0.756,MEDIUM (track ends after drop — no later data to confirm)
86,2019-06-01,2019-06-05,4,0.0337,0.0337,0.0038,0.887,MEDIUM (track ends after drop — no later data to confirm)
87,2019-06-18,2019-06-20,2,0.0229,0.023,0.0045,0.804,MEDIUM (track ends after drop — no later data to confirm)
89,2019-06-18,2019-06-20,2,0.3032,0.319,0.0076,0.976,HIGH (confirmed: stayed low in later scenes)
89,2019-06-20,2019-06-20,0,0.0076,0.319,0.0313,0.902,HIGH (confirmed: stayed low in later scenes)
89,2019-06-20,2019-06-20,0,0.0313,0.319,0.0041,0.987,HIGH (confirmed: stayed low in later scenes)
89,2019-06-20,2019-06-20,0,0.0041,0.319,0.0436,0.863,MEDIUM (track ends after drop — no later data to confirm)
90,2019-06-08,2019-06-08,0,0.1024,0.1931,0.002,0.99,MEDIUM (partial recovery — ambiguous)
90,2019-06-10,2019-06-10,0,0.1024,0.1931,0.0021,0.989,MEDIUM (partial recovery — ambiguous)
90,2019-06-10,2019-06-11,1,0.0021,0.1931,0.0947,0.51,MEDIUM (partial recovery — ambiguous)
90,2019-06-11,2019-06-15,4,0.0947,0.1931,0.0952,0.507,MEDIUM (partial recovery — ambiguous)
