lake_id,date_before,date_after,days_between,peak_area_km2,area_after_km2,fractional_drop,confidence,track_length
11,2019-06-01,2019-06-05,4,0.2801,0.0142,0.949,MEDIUM (peak = single reading),3
24,2019-06-11,2019-06-15,4,0.1197,0.0397,0.668,MEDIUM (track ends after drop),6
29,2019-06-11,2019-06-15,4,0.1494,0.0046,0.969,MEDIUM (track ends after drop),6
35,2019-06-11,2019-06-15,4,0.0712,0.0303,0.574,MEDIUM (track ends after drop),6
39,2019-06-05,2019-06-08,3,0.2586,0.0985,0.619,HIGH,5
39,2019-06-08,2019-06-10,2,0.2586,0.0058,0.978,HIGH,5
39,2019-06-10,2019-06-11,1,0.2586,0.0049,0.981,MEDIUM (track ends after drop),5
40,2019-06-11,2019-06-15,4,0.0142,0.0027,0.81,MEDIUM (track ends after drop),6
50,2019-06-08,2019-06-10,2,0.082,0.0315,0.616,MEDIUM (partial recovery),5
50,2019-06-10,2019-06-11,1,0.082,0.0325,0.604,MEDIUM (track ends after drop),5
67,2019-06-05,2019-06-08,3,0.0153,0.0055,0.641,MEDIUM (track ends after drop),3
79,2019-06-08,2019-06-10,2,0.1203,0.0025,0.979,MEDIUM (track ends after drop),4
82,2019-06-08,2019-06-10,2,0.021,0.0041,0.805,HIGH,5
82,2019-06-10,2019-06-11,1,0.021,0.0039,0.814,MEDIUM (track ends after drop),5
89,2019-06-01,2019-06-05,4,0.319,0.0042,0.987,MEDIUM (peak = single reading),3
90,2019-06-10,2019-06-11,1,0.1931,0.0947,0.51,MEDIUM (partial recovery),31
90,2019-06-11,2019-06-15,4,0.1931,0.0952,0.507,MEDIUM (partial recovery),31
90,2019-06-15,2019-06-16,1,0.1931,0.0961,0.502,MEDIUM (partial recovery),31
90,2019-07-03,2019-07-06,3,0.1931,0.0714,0.63,MEDIUM (partial recovery),31
90,2019-07-08,2019-07-10,2,0.1931,0.0941,0.513,MEDIUM (partial recovery),31
90,2019-07-10,2019-07-11,1,0.1931,0.0907,0.53,MEDIUM (partial recovery),31
90,2019-07-11,2019-07-15,4,0.1931,0.0864,0.553,MEDIUM (partial recovery),31
90,2019-07-15,2019-07-16,1,0.1931,0.0831,0.57,MEDIUM (partial recovery),31
90,2019-07-16,2019-07-20,4,0.1931,0.0934,0.516,MEDIUM (partial recovery),31
90,2019-07-21,2019-07-23,2,0.1931,0.0947,0.51,MEDIUM (partial recovery),31
90,2019-07-23,2019-07-31,8,0.1931,0.0022,0.989,MEDIUM (partial recovery),31
90,2019-07-31,2019-08-02,2,0.1931,0.0808,0.582,MEDIUM (partial recovery),31
90,2019-08-02,2019-08-04,2,0.1931,0.0843,0.563,MEDIUM (partial recovery),31
90,2019-08-04,2019-08-09,5,0.1931,0.0811,0.58,MEDIUM (partial recovery),31
90,2019-08-09,2019-08-10,1,0.1931,0.0793,0.589,MEDIUM (partial recovery),31
90,2019-08-10,2019-08-12,2,0.1931,0.0722,0.626,MEDIUM (partial recovery),31
90,2019-08-12,2019-08-20,8,0.1931,0.0883,0.543,MEDIUM (partial recovery),31
90,2019-08-20,2019-08-24,4,0.1931,0.0923,0.522,MEDIUM (partial recovery),31
90,2019-08-24,2019-08-25,1,0.1931,0.0793,0.589,MEDIUM (partial recovery),31
90,2019-08-25,2019-08-29,4,0.1931,0.0938,0.514,MEDIUM (partial recovery),31
90,2019-08-29,2019-09-01,3,0.1931,0.0061,0.968,MEDIUM (partial recovery),31
93,2019-06-01,2019-06-05,4,0.1166,0.0241,0.793,MEDIUM (peak = single reading),3
93,2019-06-05,2019-06-08,3,0.1166,0.0079,0.932,MEDIUM (track ends after drop),3
97,2019-07-03,2019-07-06,3,0.2369,0.002,0.992,MEDIUM (track ends after drop),11
101,2019-09-01,2019-09-09,8,0.1111,0.0147,0.868,MEDIUM (near season end),31
103,2019-06-01,2019-06-05,4,0.1645,0.0788,0.521,MEDIUM (peak = single reading),3
103,2019-06-05,2019-06-08,3,0.1645,0.0417,0.747,MEDIUM (track ends after drop),3
106,2019-06-18,2019-06-20,2,0.0366,0.018,0.508,MEDIUM (track ends after drop),9
112,2019-06-20,2019-07-03,13,0.6661,0.0023,0.997,MEDIUM (track ends after drop),10
130,2019-08-24,2019-08-25,1,0.0797,0.0371,0.535,MEDIUM (partial recovery),30
130,2019-08-25,2019-08-29,4,0.0797,0.0384,0.518,HIGH,30
130,2019-08-29,2019-09-01,3,0.0797,0.0056,0.93,MEDIUM (near season end),30
133,2019-06-05,2019-06-08,3,0.0204,0.0036,0.824,MEDIUM (track ends after drop),3
136,2019-06-20,2019-07-03,13,0.1068,0.0021,0.98,MEDIUM (track ends after drop),10
146,2019-06-05,2019-06-08,3,0.0872,0.0088,0.899,MEDIUM (track ends after drop),3
147,2019-08-25,2019-08-29,4,0.0616,0.0233,0.622,MEDIUM (track ends after drop),29
156,2019-06-01,2019-06-05,4,0.196,0.019,0.903,MEDIUM (peak = single reading),3
179,2019-06-18,2019-06-20,2,0.0093,0.0039,0.581,MEDIUM (track ends after drop),9
185,2019-06-18,2019-06-20,2,0.0096,0.003,0.688,MEDIUM (track ends after drop),9
199,2019-06-10,2019-06-11,1,0.3437,0.0036,0.99,MEDIUM (track ends after drop),5
202,2019-06-01,2019-06-05,4,0.0492,0.0077,0.843,MEDIUM (peak = single reading),3
202,2019-06-05,2019-06-08,3,0.0492,0.0064,0.87,MEDIUM (track ends after drop),3
214,2019-06-15,2019-06-16,1,0.1121,0.0067,0.94,MEDIUM (track ends after drop),7
241,2019-06-11,2019-06-15,4,0.1185,0.0367,0.69,MEDIUM (partial recovery),7
241,2019-06-15,2019-06-16,1,0.1185,0.057,0.519,MEDIUM (track ends after drop),7
243,2019-06-18,2019-06-20,2,0.0424,0.0079,0.814,MEDIUM (track ends after drop),9
248,2019-06-05,2019-06-08,3,0.0225,0.0096,0.573,MEDIUM (track ends after drop),3
265,2019-07-08,2019-07-10,2,0.0234,0.0112,0.521,MEDIUM (track ends after drop),13
327,2019-06-20,2019-07-03,13,0.013,0.0032,0.754,MEDIUM (track ends after drop),9
333,2019-06-11,2019-06-15,4,0.0173,0.0079,0.543,MEDIUM (partial recovery),6
333,2019-06-15,2019-06-16,1,0.0173,0.0052,0.699,MEDIUM (track ends after drop),6
353,2019-06-11,2019-06-15,4,0.1574,0.0026,0.983,MEDIUM (track ends after drop),5
356,2019-06-10,2019-06-11,1,0.0478,0.02,0.582,MEDIUM (track ends after drop),4
361,2019-06-08,2019-06-10,2,0.0058,0.0023,0.603,MEDIUM (partial recovery),4
361,2019-06-10,2019-06-11,1,0.0058,0.002,0.655,MEDIUM (track ends after drop),4
384,2019-07-08,2019-07-10,2,0.0207,0.0022,0.894,MEDIUM (track ends after drop),12
388,2019-06-20,2019-07-03,13,0.1153,0.0376,0.674,MEDIUM (track ends after drop),9
402,2019-06-20,2019-07-03,13,0.0515,0.0069,0.866,MEDIUM (track ends after drop),9
421,2019-06-15,2019-06-16,1,0.0341,0.0035,0.897,MEDIUM (track ends after drop),6
428,2019-06-20,2019-07-03,13,0.1444,0.0034,0.976,HIGH,10
428,2019-07-03,2019-07-06,3,0.1444,0.0098,0.932,MEDIUM (track ends after drop),10
429,2019-06-08,2019-06-10,2,0.0251,0.0059,0.765,HIGH,4
429,2019-06-10,2019-06-11,1,0.0251,0.0061,0.757,MEDIUM (track ends after drop),4
433,2019-06-18,2019-06-20,2,0.3187,0.0041,0.987,MEDIUM (track ends after drop),8
451,2019-06-08,2019-06-10,2,0.0107,0.0034,0.682,MEDIUM (partial recovery),4
451,2019-06-10,2019-06-11,1,0.0107,0.0042,0.607,MEDIUM (track ends after drop),4
454,2019-07-21,2019-07-23,2,0.041,0.0189,0.539,MEDIUM (track ends after drop),18
