lake_id,swing_count,track_length
30,2,11
56,2,13
87,2,9
94,2,29
96,2,17
109,3,31
117,2,11
137,2,10
142,3,19
152,3,16
181,3,31
226,3,31
272,2,8
320,2,11
328,2,15
357,2,27
376,2,15
383,4,28
386,2,25
387,2,12
389,2,11
390,2,27
391,2,16
398,3,28
403,3,28
405,3,12
412,2,24
415,2,20
424,2,11
425,3,24
455,4,18
464,3,16
487,2,16
515,2,24
524,3,16
526,2,12
540,2,23
579,2,14
580,2,11
603,2,11
746,2,15
749,2,10
782,3,24
791,4,25
794,2,18
881,2,9
882,2,9
896,2,9
902,3,21
1079,2,12
1088,2,19
1112,2,13
1123,3,25
1125,4,25
1130,4,25
1134,2,9
1142,2,13
1351,6,24
1445,2,7
1481,2,21
1573,2,19
1614,2,19
1722,2,19
1943,2,8
2045,2,19
2098,3,14
2148,2,11
2149,2,11
2225,3,15
2252,2,7
2281,2,15
2286,2,15
2287,2,7
2306,4,14
2474,3,14
2484,2,16
2598,2,9
2676,2,8
2682,2,14
2723,2,12
2774,2,9
2803,3,12
2872,2,13
3217,2,11
3308,2,5
3403,2,10
